season,ligue,avg_xG_h,avg_xG_a,sum_pts_h,sum_pts_a,avg_xpts_h,avg_xpts_a,sum_xG_h,sum_xG_a,avg_pts_h,avg_pts_a,sum_xpts_h,sum_xpts_a
2014,Ligue1,1.355644905263158,1.0199736807894737,631,421,1.5894371052631577,1.14267,515.145064,387.5899987,1.6605263157894736,1.1078947368421053,603.9861,434.2146
2015,Ligue1,1.3831217447368422,1.0205442310526316,588,444,1.6221873684210526,1.1189239473684212,525.586263,387.8068078,1.5473684210526315,1.168421052631579,616.4312,425.1911
2016,Ligue1,1.4549633289473685,1.0849076118421053,652,394,1.6311131578947369,1.1192365789473684,552.886065,412.2648925,1.7157894736842105,1.0368421052631578,619.823,425.30989999999997
2017,Ligue1,1.462624117631579,1.1011482215789474,615,429,1.6127302631578946,1.1465523684210528,555.7971647,418.4363242,1.618421052631579,1.1289473684210527,612.8375,435.6899
2018,Ligue1,1.4472180371052632,1.1042062413157894,602,428,1.5966202631578947,1.151402105263158,549.9428541,419.5983717,1.5842105263157895,1.1263157894736842,606.7157,437.5328
2019,Ligue1,1.4196002974910396,1.0603982749103944,472,295,1.5881569892473117,1.1569129032258065,396.068483,295.85111870000003,1.6917562724014337,1.0573476702508962,443.0958,322.7787
2020,Ligue1,1.4121177,1.2462858560526315,521,524,1.4603497368421052,1.299230789473684,536.604726,473.5886253,1.3710526315789473,1.3789473684210527,554.9329,493.7077
2021,Ligue1,1.5077033236842106,1.2100032031578947,588,450,1.5723165789473683,1.1896965789473684,572.927263,459.8012172,1.5473684210526315,1.1842105263157894,597.4802999999999,452.0847
2022,Ligue1,1.5796574973684212,1.3638629863157896,581,467,1.5133465789473683,1.2650113157894736,600.269849,518.2679348,1.5289473684210526,1.2289473684210526,575.0717,480.7043
2023,Ligue1,1.6891071143790848,1.2752109215686274,441,396,1.641509477124183,1.1337977124183005,516.866777,390.214542,1.4411764705882353,1.2941176470588236,502.3019,346.9421
2014,La Liga,1.5170707555263159,1.101852882105263,604,445,1.6476326315789476,1.1190436842105262,576.4868871,418.7040952,1.5894736842105264,1.1710526315789473,626.1004,425.2366
2015,La Liga,1.5811950055263158,1.1805598571052631,641,407,1.6135834210526316,1.158473157894737,600.8541021,448.6127457,1.686842105263158,1.0710526315789475,613.1617,440.2198
2016,La Liga,1.4491077042105265,1.0568330031578947,632,419,1.648387894736842,1.106223947368421,550.6609276,401.5965412,1.6631578947368422,1.1026315789473684,626.3874,420.3651
2017,La Liga,1.6242374684210525,1.1268736102631578,623,431,1.6914321052631578,1.070717894736842,617.210238,428.2119719,1.6394736842105264,1.1342105263157896,642.7442,406.8728
2018,La Liga,1.5905116,1.1877373605263157,614,416,1.650973157894737,1.1019242105263158,604.394408,451.340197,1.6157894736842104,1.0947368421052632,627.3698,418.7312
2019,La Liga,1.4674430615789473,1.0924696671052632,627,408,1.6223231578947368,1.1289021052631578,557.6283634,415.1384735,1.65,1.0736842105263158,616.4828,428.9828
2020,La Liga,1.3588068526315789,1.1448111694736842,583,448,1.5083242105263157,1.2384892105263159,516.346604,435.0282444,1.5342105263157895,1.1789473684210525,573.1632,470.6259
2021,La Liga,1.4775841563157894,1.1530675139473685,606,423,1.5895423684210528,1.1667697368421053,561.4819794,438.1656553,1.5947368421052632,1.1131578947368421,604.0261,443.3725
2022,La Liga,1.633699763157895,1.1402224263157894,635,416,1.6918897368421053,1.0827918421052631,620.80591,433.284522,1.6710526315789473,1.0947368421052632,642.9181,411.4609
2023,La Liga,1.6761275805263156,1.198977455,608,425,1.6753797368421053,1.0895902631578949,636.9284806,455.6114329,1.6,1.118421052631579,636.6443,414.0443
2014,EPL,1.4787705473684212,1.0646621792105264,609,438,1.645008947368421,1.1049655263157894,561.932808,404.5716281,1.6026315789473684,1.1526315789473685,625.1034,419.88689999999997
2015,EPL,1.4215353678947367,1.160057095263158,578,455,1.5520094736842105,1.2060936842105263,540.1834398,440.8216962,1.5210526315789474,1.1973684210526316,589.7636,458.3156
2016,EPL,1.458365167105263,1.129919095263158,645,411,1.5847539473684211,1.1789305263157894,554.1787635,429.3692562,1.6973684210526316,1.081578947368421,602.2065,447.9936
2017,EPL,1.496798357105263,1.1136453615789474,618,423,1.6167668421052632,1.1536165789473685,568.7833757,423.1852374,1.6263157894736842,1.1131578947368421,614.3714,438.3743
2018,EPL,1.5929842168421053,1.262906995,614,455,1.563567105263158,1.2149244736842104,605.3340024,479.9046581,1.6157894736842104,1.1973684210526316,594.1555,461.6713
2019,EPL,1.534661257894737,1.3160037842105263,608,440,1.5274486842105264,1.2509663157894737,583.171278,500.081438,1.6,1.1578947368421053,580.4305,475.3672
2020,EPL,1.4312344013157896,1.3037813718421052,515,542,1.4504526315789474,1.323007894736842,543.8690725,495.4369213,1.355263157894737,1.4263157894736842,551.172,502.743
2021,EPL,1.5599694744736843,1.2787442539473683,577,475,1.5688857894736843,1.2182686842105264,592.7884003,485.9228165,1.518421052631579,1.25,596.1766,462.9421
2022,EPL,1.669127182368421,1.2955079573684212,639,414,1.5986621052631578,1.1831802631578947,634.2683293,492.2930238,1.681578947368421,1.0894736842105264,607.4916,449.6085
2023,EPL,1.9220321434210528,1.458509786842105,607,451,1.6753431578947369,1.1249655263157894,730.3722145,554.233719,1.5973684210526315,1.186842105263158,636.6304,427.4869
2014,Bundesliga,1.5050234869281047,1.1190941336601308,517,319,1.6236598039215686,1.1305990196078433,460.537187,342.4428049,1.6895424836601307,1.042483660130719,496.8399,345.9633
2015,Bundesliga,1.5927890836601306,1.2316714385620915,476,371,1.5764803921568629,1.1958205882352941,487.39345959999997,376.8914602,1.5555555555555556,1.2124183006535947,482.403,365.9211
2016,Bundesliga,1.576886862745098,1.1771010303921567,524,320,1.620919934640523,1.1440885620915031,482.52738,360.1929153,1.7124183006535947,1.0457516339869282,496.0015,350.0911
2017,Bundesliga,1.5380060120915033,1.1340684585294118,500,335,1.6423875816993465,1.120374836601307,470.6298397,347.02494831,1.6339869281045751,1.0947712418300655,502.5706,342.8347
2018,Bundesliga,1.7780008650326797,1.4069682777777777,487,358,1.621818300653595,1.1727437908496732,544.0682647,430.532293,1.591503267973856,1.1699346405228759,496.2764,358.8596
2019,Bundesliga,1.6430469281045752,1.485365768627451,437,413,1.4928071895424835,1.2960816993464053,502.77236,454.5219252,1.4281045751633987,1.3496732026143792,456.799,396.601
2020,Bundesliga,1.5272514558823531,1.333162784640523,468,369,1.4796183006535948,1.287523202614379,467.3389455,407.9478121,1.5294117647058822,1.2058823529411764,452.7632,393.9821
2021,Bundesliga,1.7202926094771243,1.399252431372549,502,343,1.5904117647058824,1.192536274509804,526.4095385,428.171244,1.6405228758169934,1.1209150326797386,486.666,364.91610000000003
2022,Bundesliga,1.7292387810457517,1.2974458375816993,510,333,1.6373885620915034,1.1420934640522875,529.147067,397.0184263,1.6666666666666667,1.088235294117647,501.0409,349.4806
2023,Bundesliga,1.8911724019607843,1.445278724509804,483,354,1.64257091503268,1.1564758169934641,578.698755,442.2552897,1.5784313725490196,1.1568627450980393,502.6267,353.8816
2014,Serie A,1.4536572071052631,1.1294048157894736,576,444,1.599261052631579,1.151263947368421,552.3897387,429.17383,1.5157894736842106,1.168421052631579,607.7192,437.4803
2015,Serie A,1.4302147944736843,1.0864512213157895,620,425,1.6113681578947368,1.1389731578947369,543.4816219,412.8514641,1.631578947368421,1.118421052631579,612.3199,432.8098
2016,Serie A,1.552245605263158,1.2026038781578947,635,425,1.597191842105263,1.172646052631579,589.85333,456.9894737,1.6710526315789473,1.118421052631579,606.9329,445.6055
2017,Serie A,1.401175245,1.1639647210526316,575,482,1.5123357894736842,1.2537081578947369,532.4465931,442.306594,1.513157894736842,1.268421052631579,574.6876,476.4091
2018,Serie A,1.537145602894737,1.2105422678947368,606,426,1.5964478947368421,1.1630173684210525,584.1153291,460.0060618,1.5947368421052632,1.1210526315789473,606.6502,441.9466
2019,Serie A,1.624076447368421,1.3668108734210525,559,496,1.5351131578947368,1.2437705263157894,617.14905,519.3881319,1.4710526315789474,1.305263157894737,583.343,472.6328
2020,Serie A,1.5795915234210527,1.415271802368421,562,481,1.4955676315789475,1.282963157894737,600.2447789,537.8032849,1.4789473684210526,1.2657894736842106,568.3157,487.526
2021,Serie A,1.5387631323684212,1.336095215,542,500,1.508376052631579,1.2675723684210527,584.7299903,507.7161817,1.4263157894736842,1.3157894736842106,573.1829,481.6775
2022,Serie A,1.4343783792105265,1.2202267586842106,583,457,1.5305844736842107,1.2354563157894738,545.0637841,463.6861683,1.5342105263157895,1.2026315789473685,581.6221,469.4734
2023,Serie A,1.5213089734210525,1.230651765263158,589,439,1.5544,1.2140113157894736,578.0974099,467.6476708,1.55,1.1552631578947368,590.672,461.3243
2014,RFPL,1.3460940975,0.97354937625,379,280,1.60081875,1.1372787500000001,323.0625834,233.6518503,1.5791666666666666,1.1666666666666667,384.1965,272.9469
2015,RFPL,1.2999247425,1.0422261499166667,361,292,1.5489679166666666,1.1853091666666666,311.9819382,250.13427598,1.5041666666666667,1.2166666666666666,371.7523,284.4742
2016,RFPL,1.0697224908333332,0.8129489095833333,401,254,1.5502829166666667,1.1384741666666665,256.7333978,195.1077383,1.6708333333333334,1.0583333333333333,372.0679,273.2338
2017,RFPL,1.2310057291666667,0.9104649904166667,364,289,1.598495,1.12632375,295.441375,218.5115977,1.5166666666666666,1.2041666666666666,383.6388,270.3177
2018,RFPL,1.2945877458333332,0.9598183516666666,379,271,1.5976966666666668,1.1333654166666667,310.701059,230.3564044,1.5791666666666666,1.1291666666666667,383.4472,272.0077
2019,RFPL,1.3800269275000001,1.1391066,326,329,1.5086012500000001,1.22965875,331.2064626,273.385584,1.3583333333333334,1.3708333333333333,362.0643,295.1181
2020,RFPL,1.41308135,1.0948339266666667,398,272,1.57946875,1.18388125,339.139524,262.7601424,1.6583333333333334,1.1333333333333333,379.0725,284.1315
2021,RFPL,1.3818545375,1.1582400520833334,371,290,1.5246408333333332,1.2344408333333334,331.645089,277.9776125,1.5458333333333334,1.2083333333333333,365.9138,296.2658
2022,RFPL,1.5473187291666666,1.1864374160416666,394,271,1.5758058333333334,1.1970095833333334,371.356495,284.74497985,1.6416666666666666,1.1291666666666667,378.1934,287.2823
2023,RFPL,1.4128017375,1.1226760662500002,405,249,1.5741825,1.1627750000000001,339.072417,269.4422559,1.6875,1.0375,377.8038,279.06600000000003
